오름명,행정시,소재지,위도,경도,비고,표고,면적,형태,데이터기준일자,주차장,화장실
부소악,제주시,제주특별자치도 제주시 조천읍 교래리 산2,33.4276176,126.6665803,129,469.2,423459,말굽형(서남향),#######,,
북돌아진오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,33.3689588,126.3505941,118,643,338981,말굽형(북서향),#######,,
북망산,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산11,33.3277266,126.7773794,42,141.9,83414,원추형,#######,,
북오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산93,33.3056468,126.3313681,84,314.3,121783,말굽형(남향),#######,N,N
북오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 산69,33.4909118,126.7401829,86,304.6,168850,말굽형(북향),#######,,
불칸디오름,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,91,996.3,204167,말굽형(서남형),#######,,
붉은오름,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 62-4,33.4236309,126.9302509,28,33,5343,원추형,#######,Y,Y
붉은오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,33.3988071,126.7063341,129,569,585044,원형,#######,,
붉은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,33.3701721,126.4819697,136,1061,411978,말굽형(북서향),#######,,
비양봉,제주시,제주특별자치도 제주시 한림읍 협재리 산100-1,33.4089411,126.2269726,104,114.1,260428,복합형,#######,,
비치미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,33.4292682,126.7671048,109,344.1,388793,말굽형(북동향),#######,,
빈내오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산5-2,33.3689588,126.3505941,93,658.6,359116,말굽형(남서향),#######,,
사라봉,제주시,제주특별자치도 제주시 건입동 387-1,33.5180564,126.5460544,98,148.2,233471,말굽형(북서향),#######,,
사라오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,150,1324.7,440686,원형,#######,,
사려니,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,98,523,260107,말굽형(북동),#######,N,N
사려니 남서쪽,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,73,473,77637,원추형,#######,,
사제비동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,49,1423.8,95420,말굽형(서향),#######,,
산굼부리,제주시,제주특별자치도 제주시 조천읍 교래리 산38,33.4276176,126.6665803,32,437.4,574697,원형,#######,,
산방산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 산16,33.2426249,126.3137339,345,395.2,988332,원추형(종모양),#######,,
산세미오름,제주시,제주특별자치도 제주시 애월읍 고성리 산127,33.4091083,126.4319991,102,651.6,382100,말굽형(북향),#######,,
살손장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,98,912.5,298849,복합형,#######,,
살핀오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,33.3701721,126.4819697,76,1076.3,112029,원추형,#######,,
삼각봉,제주시,제주특별자치도 제주시 오라동 산107,33.4079644,126.5215951,186,1695.5,237586,원추형,#######,,
삼매봉,서귀포시,제주특별자치도 서귀포시 서홍동 809-1,33.2458577,126.5474686,104,153.6,334070,복합형,#######,Y,Y
삼형제(샛오름),서귀포시,제주특별자치도 서귀포시 색달동 산1-3,33.2569808,126.3864531,123,1014,72363,원추형,#######,,
삼형제(우보름),서귀포시,제주특별자치도 서귀포시 색달동 산1-3,33.2569808,126.3864531,45,1025.6,87416,원추형,#######,,
삼형제말젯오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산1,33.3689588,126.3505941,123,1075,340627,말굽형(북서향),#######,,
삼형제샛오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,33.3701721,126.4819697,49,1112.8,412642,말굽형(북서향),#######,,
삼형제큰오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,33.3701721,126.4819697,118,1142.5,367384,말굽형(북서향),#######,,
상여오름,제주시,제주특별자치도 제주시 연동 산72,33.4675657,126.4901034,60,245,162799,원추형,#######,,
새끼오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 3196-1,33.4084591,126.7426871,51,301.2,114795,말굽형(서향),#######,,
새별오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산59-8,33.3689588,126.3505941,119,519.3,522216,복합형,#######,,
새신오름,제주시,제주특별자치도 제주시 한경면 청수리 3369,33.2993936,126.2383675,41,141.2,214735,원형,#######,,
샛개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,58,658.3,73832,원추형,#######,,
샛궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,37,757,48413,원형,#######,,
샛오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산14,33.4474908,126.3171162,60,100,155467,말굽형(남서향),#######,,
생기악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산34-1,33.299995,126.6297939,65,260,167924,말굽형(북서향),#######,,
서삼봉,제주시,제주특별자치도 제주시 오등동 산 50,33.4413016,126.5532003,48,448.4,21355,말굽형(서남향),#######,,
서수모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산67-2,33.4643526,126.7692825,28,253.7,39359,말굽형(동남향),#######,,
서우봉,제주시,제주특별자치도 제주시 조천읍 함덕리 169-1,33.5452975,126.6776317,106,111.3,835758,원추형,#######,,
선소오름,제주시,제주특별자치도 제주시 한림읍 금악리 2785-1,33.3725196,126.2908105,46,226,240943,말굽형(동향),#######,,
설오름,서귀포시,제주특별자치도 서귀포시 신효동 1028,33.2558085,126.6047697,15,50.1,27896,원추형,#######,,
설오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산1,33.3988071,126.7063341,98,238,273810,말굽형(서향),#######,,
섯궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,59,774,72363,원형,#######,,
섯알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 1618,33.2042537,126.281676,21,40.7,29094,말굽형(서향),#######,Y,Y
성널오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,165,1215.2,645717,원추형,#######,,
성불오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산266,33.4230389,126.7504292,97,361.7,380707,말굽형(동향),#######,,
성산일출봉,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 1,33.4584473,126.9425348,174,179,453030,원형,#######,Y,Y
성진이오름,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,75,700.5,128381,원형,#######,,
세미소,제주시,제주특별자치도 제주시 한림읍 금악리 363,33.3509493,126.3209477,30,374.8,160098,원형(화구호),#######,,
세미오름,제주시,제주특별자치도 제주시 아라동 산24-2,33.4763498,126.5450031,139,574.3,412000,원형,#######,,
세미오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산27-1,33.471412,126.674155,126,421,261938,말굽형(남서형),#######,,
소록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 87-1,33.3988071,126.7063341,102,441.9,386069,말굽형(북동향),#######,,
소병악,서귀포시,제주특별자치도 서귀포시 대정읍 상창리 산2-1,33.3066236,126.3704559,93,473,178836,말굽형(서향),#######,N,N
소산오름,제주시,제주특별자치도 제주시 아라일동 산31,33.4454544,126.5542929,48,412.8,30782,원추형,#######,,
소소름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 220,33.3246103,126.7832322,42,162.4,91501,말굽형(서향),#######,,
소수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 887,33.4368664,126.9120636,38,53,34119,원추형,#######,,
소왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 2160,33.4563187,126.8688005,28,103,35071,말굽형(서향),#######,,
손자봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산52,33.4880673,126.8804954,76,255.8,279921,복합형,#######,,
송아오름,제주시,제주특별자치도 제주시 한경면 조수리 134,33.3355258,126.2385684,29,104,30701,말굽형(남향),#######,,
송악산,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 산2,33.1994088,126.2907797,99,104,585982,복합형,#######,Y,Y
쇠머리오름,제주시,제주특별자치도 제주시 우도면 연평리 산19-1,33.4920413,126.9652088,128,132.5,457393,복합형,#######,,
수악,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산10,33.3420367,126.5884214,149,474.3,273067,원추형,#######,N,N
수월봉,제주시,제주특별자치도 제주시 한경면 고산리 3763,33.2936087,126.1634177,73,78,249820,원추형,#######,,
쉼터동산,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,33.3701721,126.4819697,47,1102.8,69083,원추형,#######,,
시오름,서귀포시,제주특별자치도 서귀포시 서홍동 산1,33.3129771,126.5316418,118,757.8,276280,원추형,#######,N,N
식산봉,서귀포시,제주특별자치도 서귀포시 성산읍 오조리 313,33.4656758,126.9196473,55,60.2,53199,원추형,#######,Y,N
식은이오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 1450,33.4726184,126.7482065,45,286,139259,말굽형(남서향),#######,,
신산오름,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 334,33.2630771,126.3608038,30,175,66974,말굽형(북향),#######,,
썩은다리,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 1913,33.2413818,126.329378,37,42,18910,원추형,#######,,
아끈다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 2593-1,33.4757487,126.8327353,58,198,164072,원형,#######,,
아부오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산164-1,33.4476598,126.7772653,51,301.4,314926,원형,#######,Y,Y
아슴선이,서귀포시,제주특별자치도 서귀포시 표선면 하천리 2405,33.3629759,126.8059394,29,148.8,192921,원추형,#######,,
안돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 66-2,33.4575321,126.7558484,93,368.1,298148,말굽형(동향),#######,,
안세미,제주시,제주특별자치도 제주시 봉개동 산2,33.4682542,126.6063061,91,396.4,174311,말굽형(북동향),#######,,
안오름,제주시,제주특별자치도 제주시 애월읍 고성리 1146,33.4509569,126.4145535,21,186,114268,원형,#######,,
안천이오름,제주시,제주특별자치도 제주시 애월읍 어음리 산124,33.3910371,126.3590516,77,742,156344,말굽형(북서향),#######,,
안친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 808,33.478521,126.7855155,22,192,46443,말굽형(북향),#######,,
알밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 59-1,33.4940059,126.7127119,154,393.6,505969,말굽형(북서향),#######,,
알방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,33.3150776,126.5405045,85,1584.8,214973,원추형,#######,,
알선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산14,33.4822998,126.7825964,21,291.2,45512,말굽형(동향),#######,,
알오름,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,33.4786495,126.8840616,51,145.9,142515,원추형,#######,Y,Y
알오름,제주시,제주특별자치도 제주시 건입동 387-1,33.5180564,126.5460544,21,96.2,35659,원추형,#######,,
알오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산114,33.4140802,126.4034965,31,446.2,87253,원추형,#######,,
어대오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 509-1,33.496861,126.7625037,55,210.5,117905,말굽형(북서향),#######,,
어도오름,제주시,제주특별자치도 제주시 애월읍 봉성리 3920-24,33.3689588,126.3505941,73,143.2,376225,말굽형(북향),#######,,
어스렁오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-1,33.3701721,126.4819697,37,1332.4,82247,원추형,#######,,
어승생,제주시,제주특별자치도 제주시 해안동 220-1,33.4590395,126.4729491,350,1169,2543257,원형(화구호),#######,,
어오름,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산24,33.3252407,126.4019377,38,638,81238,원추형,#######,,
어점이악,서귀포시,제주특별자치도 서귀포시 도순동 산1,33.3098899,126.4744626,45,820.1,41425,원추형,#######,,
어후오름,제주시,제주특별자치도 제주시 조천읍 교래리 산137-2,33.4276176,126.6665803,116,1016.9,229772,말굽형(북동향),#######,,
여문영아리,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산145,33.3988071,126.7063341,134,514,600325,말굽형(북향),#######,,
여절악,서귀포시,제주특별자치도 서귀포시 성산읍 신흥리 산18,33.3480845,126.7358734,50,209.8,110552,말굽형(남향),#######,,
열안지,제주시,제주특별자치도 제주시 오라이동 산97,33.426644,126.5207473,113,583.2,368262,말굽형(남동향),#######,,
열안지오름,제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,54,328.7,55701,말굽형(북향),#######,,
영아리,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산24,33.3252407,126.4019377,93,693,477656,말굽형(서향),#######,,
영주산,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산18-1,33.4040171,126.7990445,176,326.4,1338920,말굽형(동남향),#######,N,N
영천악,서귀포시,제주특별자치도 서귀포시 상효동 산123,33.2940537,126.6011412,97,277,256127,원형,#######,Y,N
예촌망,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 95-11,33.3420367,126.5884214,63,67.5,312719,원추형,#######,,
오구시오름,제주시,제주특별자치도 제주시 오등동 570-1,33.4700922,126.5350549,29,188.6,27729,말굽형(동향),#######,,
오드싱오름,제주시,제주특별자치도 제주시 오등동 1554,33.471431,126.5216101,56,206.2,169387,말굽형(북향),#######,,
오백나한,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,33.3401998,126.4792115,389,1639.3,599856,복합형,#######,,
왕관릉,제주시,제주특별자치도 제주시 오등동 산182,33.3718377,126.5298401,150,1666.3,43678,원추형,#######,,
왕오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,33.3436613,126.4650215,38,1223,92387,원추형,#######,,
왕이메,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,33.340233,126.374785,92,612.4,709179,복합형,#######,N,N
용눈이오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산28,33.4880673,126.8804954,88,247.8,404264,복합형,#######,,
용머리,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 112-1,33.2340447,126.3141969,43,48.5,59515,원추형,#######,Y,Y
우보악,서귀포시,제주특별자치도 서귀포시 색달동 912-1,33.2814107,126.4111118,96,301.4,399924,말굽형(동향),#######,,
우진제비,제주시,제주특별자치도 제주시 조천읍 선흘리 산111,33.4662048,126.7017009,126,410.6,406250,말굽형(북동향),#######,,
운지악,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 760-2,33.2993082,126.7050263,24,113.5,37596,말굽형,#######,N,N
웃밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 84,33.4784421,126.7143161,137,416.8,376587,말굽형(북향),#######,,
웃방애오름,서귀포시,제주특별자치도 서귀포시 동홍동 산1,33.3150776,126.5405045,73,1747.9,89796,원추형,#######,,
웃선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산140-2,33.4421766,126.7485654,32,307.3,64789,말굽형(남향),#######,,
웃세오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,75,1740,273416,원추형,#######,,
원당봉,제주시,제주특별자치도 제주시 삼양일동 산1-1,33.5253752,126.5978854,120,170.7,663286,말굽형(북향),#######,,
원수악,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,33.3226391,126.3456997,98,458.5,584056,말굽형(서향),#######,,
월라봉,서귀포시,제주특별자치도 서귀포시 안덕면 감산리 1148,33.2442794,126.3499008,101,200.7,818809,복합형,#######,Y,N
월라산,서귀포시,제주특별자치도 서귀포시 신효동 산1,33.2705143,126.6046518,63,117.8,498972,복합형,#######,Y,Y
월랑지,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산5,33.4390073,126.8097233,35,260.2,83957,말굽형(북향),#######,,
월산봉,서귀포시,제주특별자치도 서귀포시 강정동 1461,33.2596431,126.501791,62,212.2,0,원추형,#######,,
유건에오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2302,33.4135945,126.8467892,75,190.2,204487,원형,#######,N,N
은월봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산21,33.4880673,126.8804954,75,179.6,209307,말굽형(북동향),#######,,
응악,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 127,33.3311189,126.7229407,33,178,23052,원추형,#######,,
이계오름,제주시,제주특별자치도 제주시 한경면 청수리 1854,33.3313174,126.2451324,38,167.7,48811,말굽형(동향),#######,,
이달봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,33.3689588,126.3505941,119,488.7,250204,원추형,#######,,
이달이촛대봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,33.3689588,126.3505941,86,456,104258,원추형,#######,,
이돈이오름,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산3,33.3357114,126.4074723,68,663.2,287784,말굽형(서향),#######,,
이스렁오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,73,1352.6,155494,원추형,#######,,
이승악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,114,539,332070,말굽형(동향),#######,Y,Y
인정오름,서귀포시,제주특별자치도 서귀포시 토평동 1952,33.2844859,126.5853688,49,232.5,212119,원형,#######,,
입산봉,제주시,제주특별자치도 제주시 구좌읍 동김녕리 1033,33.5488485,126.7569671,65,84.5,229521,원형,#######,,
입석오름,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산2-1,33.3420367,126.5884214,39,1189,102586,원추형,#######,,
자배봉,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 산143,33.3060336,126.6580882,111,211.3,440293,원형,#######,Y,Y
장구목,제주시,제주특별자치도 제주시 오라이동 산107,33.4079644,126.5215951,70,1813,227978,원추형,#######,,
장오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,33.3436613,126.4650215,27,1132.1,55507,원추형,#######,,
장자오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2768,33.3875962,126.7805885,31,215.9,71285,원추형,#######,,
저지오름,제주시,제주특별자치도 제주시 한경면 저지리 산51,33.3330097,126.2509518,104,239.3,379316,원형,#######,Y,Y
절물오름(족은대나),제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,120,656.7,305719,말굽형(북동향),#######,,
절물오름(큰대나),제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,147,696.9,397123,원형,#######,,
정물알오름,제주시,제주특별자치도 제주시 한림읍 금악리 105-1,33.3401493,126.3237888,41,355.5,52854,원추형,#######,,
정물오름,제주시,제주특별자치도 제주시 한림읍 금악리 산52-1,33.3376384,126.330349,151,466.1,494293,말굽형(북서향),#######,,
정월오름,제주시,제주특별자치도 제주시 한림읍 금능리 565-61,33.3642307,126.2419374,56,106.2,192446,말굽형(북서향),#######,,
제석오름,서귀포시,제주특별자치도 서귀포시 표선면 하천리 429-1,33.3470334,126.836251,48,87.5,58164,원추형,#######,N,N
제지기오름,서귀포시,제주특별자치도 서귀포시 보목동 산1,33.2303507,126.5994088,85,94.8,77023,원추형,#######,,
족은개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,79,664,175778,말굽형(서향),#######,,
족은노로오름,제주시,제주특별자치도 제주시 애월읍 고성리 산145,33.3829668,126.4412517,34,1019.2,95867,복합형,#######,,
족은노리손이,제주시,제주특별자치도 제주시 봉개동 산294-22,33.4914049,126.5949431,28,413.8,14756,원추형,#######,,
족은대비악,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산59,33.3300596,126.369953,71,541.2,188947,복합형,#######,,
족은돌이미,제주시,제주특별자치도 제주시 구좌읍 송당리 2451,33.4401657,126.7729838,24,274,66814,말굽형(동남향),#######,,
족은드레,제주시,제주특별자치도 제주시 해안동 산220-1,33.4000858,126.4872184,279,1339.2,685355,원추형,#######,,
족은바리메,제주시,제주특별자치도 제주시 애월읍 상가리 산124,33.3704494,126.4161146,126,725.8,688020,말굽형(북서향),#######,,
족은방애오름,제주시,제주특별자치도 제주시 조천읍 교래리 산 44,33.4276176,126.6665803,28,437.5,61947,말굽형(북동향),#######,,
족은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,64,1698.9,116502,원추형,#######,,
족은지그리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,33.4276176,126.6665803,69,504,120674,말굽형(남동향),#######,,
종재기악,제주시,제주특별자치도 제주시 구좌읍 덕천리 1307,33.4796733,126.7561625,45,254.9,22813,원추형,#######,,
좌보미,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산6,33.4359037,126.8070751,112,342,631356,말굽형(남향),#######,N,N
좌보미알오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 93,33.4311372,126.8141686,23,227.5,18946,원형,#######,,
주체오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 864,33.4919573,126.7472686,35,220.6,61751,말굽형(남서향),#######,,
지미봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산3-1,33.4880673,126.8804954,160,165.8,423814,말굽형(북향),#######,Y,Y
진물굼부리,제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,25,573,50595,말굽형(남서향),#######,,
천아오름,제주시,제주특별자치도 제주시 애월읍 광령리 산182,33.3701721,126.4819697,87,797,157348,말굽형(북서향),#######,,
천아오름,제주시,제주특별자치도 제주시 한림읍 상대리 1689,33.4046589,126.2986977,49,133.6,127387,말굽형(서남향),#######,,
체오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 산 2,33.4649033,126.7487337,117,382.2,553701,말굽형(북동향),#######,,
쳇망오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.3988071,126.7063341,55,444.6,140916,원형,#######,,
쳇망오름,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,55,1354.9,238510,말굽형(북서향),#######,,
칡(족은)오름,제주시,제주특별자치도 제주시 봉개동 466-2,33.4746921,126.6134368,42,326.5,51407,원추형,#######,,
칡(큰)오름,제주시,제주특별자치도 제주시 봉개동 466-2,33.4746921,126.6134368,47,336.6,50953,원추형,#######,,
칡오름,서귀포시,제주특별자치도 서귀포시 상효동 산129,33.2847601,126.6044391,96,271,337365,원형,#######,N,N
칡오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산155,33.4449279,126.7616328,49,303.9,126006,말굽형(남서향),#######,,
큰노리손이,제주시,제주특별자치도 제주시 봉개동 산294-22,33.4914049,126.5949431,52,426.6,69773,원추형,#######,,
큰돌이미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,33.4292682,126.7671048,82,311.9,273308,말굽형(동북향),#######,,
큰드레,제주시,제주특별자치도 제주시 오라동 산107,33.4079644,126.5215951,140,1628.4,490592,원추형,#######,,
큰지그리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,33.4276176,126.6665803,118,598,344976,말굽형(남서향),#######,,
테역장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,50,846.3,104519,말굽형(북향),#######,,
토산봉,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산13,33.3223939,126.7735897,75,175.4,398823,복합형,#######,N,Y
통오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 1976-1,33.3943796,126.8561053,43,143.1,258114,말굽형(서향),#######,N,N
파군봉,제주시,제주특별자치도 제주시 애월읍 하귀1리 688-1,33.4792184,126.4124047,50,84.5,59269,원추형,#######,,
판포오름,제주시,제주특별자치도 제주시 한경면 판포리 935-1,33.3581285,126.2134159,58,93.2,192446,말굽형(동향),#######,,
폭낭오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산43,33.3689588,126.3505941,76,645.5,583171,복합형,#######,,
하논,서귀포시,제주특별자치도 서귀포시 호근동 149,33.2537823,126.5422628,88,143.4,1266825,원형,#######,Y,N
하늬보기,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산89,33.3264189,126.3922173,42,592.3,17795,원추형,#######,,
한대오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산1,33.3689588,126.3505941,36,921.4,132263,원추형,#######,,
후곡악,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4504,33.4310244,126.8273298,36,206.2,54168,말굽형(서남향),#######,N,N
흑악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,33.299995,126.6297939,40,590.1,32197,원추형,#######,,
흙붉은오름,제주시,제주특별자치도 제주시 아라일동 산67,33.4088386,126.5665066,146,1380.7,721090,말굽형(동향),#######,,
